"1","nlYmkfsUGd","1","1","3","3","2014-02-04 15:32:17"
"2","nlYmkfsUGd","1","2","6","5","2014-02-04 15:32:22"
"3","nlYmkfsUGd","1","3","5","5","2014-02-04 15:32:25"
"4","nlYmkfsUGd","1","4","4","4","2014-02-04 15:32:26"
"5","nlYmkfsUGd","1","5","6","5","2014-02-04 15:32:28"
"6","nlYmkfsUGd","1","6","5","5","2014-02-04 15:32:30"
"7","nlYmkfsUGd","1","7","7","5","2014-02-04 15:32:31"
"8","nlYmkfsUGd","1","8","5","5","2014-02-04 15:32:33"
"9","nlYmkfsUGd","1","9","7","5","2014-02-04 15:32:36"
"10","nlYmkfsUGd","1","10","5","5","2014-02-04 15:32:37"
"11","glIqEtKsIN","1","1","0","0","2014-02-04 15:32:49"
"12","nlYmkfsUGd","2","11","5","5","2014-02-04 15:32:54"
"13","umHnBTVKxT","1","1","10","10","2014-02-04 15:32:56"
"14","nlYmkfsUGd","2","12","6","6","2014-02-04 15:32:56"
"15","nlYmkfsUGd","2","13","6","6","2014-02-04 15:32:58"
"16","glIqEtKsIN","1","2","0","0","2014-02-04 15:32:59"
"17","nlYmkfsUGd","2","14","4","4","2014-02-04 15:33:00"
"18","nlYmkfsUGd","2","15","3","3","2014-02-04 15:33:01"
"19","nlYmkfsUGd","2","16","7","7","2014-02-04 15:33:02"
"20","glIqEtKsIN","1","3","9","9","2014-02-04 15:33:04"
"21","nlYmkfsUGd","2","17","2","2","2014-02-04 15:33:04"
"22","nlYmkfsUGd","2","18","6","6","2014-02-04 15:33:06"
"23","glIqEtKsIN","1","4","7","7","2014-02-04 15:33:06"
"24","nlYmkfsUGd","2","19","5","5","2014-02-04 15:33:07"
"25","umHnBTVKxT","1","2","3","3","2014-02-04 15:33:08"
"26","glIqEtKsIN","1","5","5","5","2014-02-04 15:33:08"
"27","nlYmkfsUGd","2","20","2","2","2014-02-04 15:33:09"
"28","glIqEtKsIN","1","6","7","7","2014-02-04 15:33:10"
"29","umHnBTVKxT","1","3","7","7","2014-02-04 15:33:11"
"30","nleZsznkCM","1","1","1","1","2014-02-04 15:33:11"
"31","glIqEtKsIN","1","7","9","9","2014-02-04 15:33:12"
"32","umHnBTVKxT","1","4","1","1","2014-02-04 15:33:13"
"33","glIqEtKsIN","1","8","9","9","2014-02-04 15:33:13"
"34","umHnBTVKxT","1","5","6","6","2014-02-04 15:33:15"
"35","nleZsznkCM","1","2","6","4","2014-02-04 15:33:16"
"36","glIqEtKsIN","1","9","0","0","2014-02-04 15:33:16"
"37","umHnBTVKxT","1","6","2","2","2014-02-04 15:33:17"
"38","nleZsznkCM","1","3","3","3","2014-02-04 15:33:18"
"39","glIqEtKsIN","1","10","8","8","2014-02-04 15:33:19"
"40","umHnBTVKxT","1","7","8","8","2014-02-04 15:33:20"
"41","nleZsznkCM","1","4","4","4","2014-02-04 15:33:20"
"42","nlYmkfsUGd","3","21","6","3","2014-02-04 15:33:21"
"43","umHnBTVKxT","1","8","5","5","2014-02-04 15:33:22"
"44","nleZsznkCM","1","5","7","4","2014-02-04 15:33:23"
"45","nlYmkfsUGd","3","22","3","3","2014-02-04 15:33:23"
"46","umXiczYIfE","1","1","7","3","2014-02-04 15:33:23"
"47","nleZsznkCM","1","6","5","4","2014-02-04 15:33:25"
"48","umHnBTVKxT","1","9","10","10","2014-02-04 15:33:25"
"49","nlYmkfsUGd","3","23","6","3","2014-02-04 15:33:25"
"50","nlYmkfsUGd","3","24","5","3","2014-02-04 15:33:27"
"51","umHnBTVKxT","1","10","10","10","2014-02-04 15:33:27"
"52","nleZsznkCM","1","7","4","4","2014-02-04 15:33:28"
"53","nlYmkfsUGd","3","25","6","3","2014-02-04 15:33:28"
"54","nlYmkfsUGd","3","26","4","3","2014-02-04 15:33:30"
"55","nleZsznkCM","1","8","6","4","2014-02-04 15:33:31"
"56","nlYmkfsUGd","3","27","7","3","2014-02-04 15:33:32"
"57","nlYmkfsUGd","3","28","5","3","2014-02-04 15:33:33"
"58","umXiczYIfE","1","2","5","3","2014-02-04 15:33:34"
"59","nleZsznkCM","1","9","4","4","2014-02-04 15:33:34"
"60","nlYmkfsUGd","3","29","6","3","2014-02-04 15:33:35"
"61","glIqEtKsIN","2","11","9","8","2014-02-04 15:33:36"
"62","nlYmkfsUGd","3","30","2","2","2014-02-04 15:33:36"
"63","nleZsznkCM","1","10","7","4","2014-02-04 15:33:37"
"64","glIqEtKsIN","2","12","8","8","2014-02-04 15:33:40"
"65","glIqEtKsIN","2","13","8","8","2014-02-04 15:33:42"
"66","umXiczYIfE","1","3","9","3","2014-02-04 15:33:43"
"67","glIqEtKsIN","2","14","7","7","2014-02-04 15:33:44"
"68","glIqEtKsIN","2","15","0","0","2014-02-04 15:33:46"
"69","nlYmkfsUGd","4","31","4","4","2014-02-04 15:33:47"
"70","glIqEtKsIN","2","16","8","8","2014-02-04 15:33:48"
"71","umXiczYIfE","1","4","8","3","2014-02-04 15:33:49"
"72","nlYmkfsUGd","4","32","6","4","2014-02-04 15:33:49"
"73","glIqEtKsIN","2","17","5","5","2014-02-04 15:33:50"
"74","nlYmkfsUGd","4","33","4","4","2014-02-04 15:33:51"
"75","glIqEtKsIN","2","18","0","0","2014-02-04 15:33:52"
"76","nlYmkfsUGd","4","34","8","4","2014-02-04 15:33:52"
"77","nlYmkfsUGd","4","35","4","4","2014-02-04 15:33:53"
"78","glIqEtKsIN","2","19","9","8","2014-02-04 15:33:54"
"79","nlYmkfsUGd","4","36","5","4","2014-02-04 15:33:55"
"80","nleZsznkCM","2","11","4","4","2014-02-04 15:33:55"
"81","umXiczYIfE","1","5","0","0","2014-02-04 15:33:55"
"82","glIqEtKsIN","2","20","6","6","2014-02-04 15:33:56"
"83","nlYmkfsUGd","4","37","3","3","2014-02-04 15:33:56"
"84","nlYmkfsUGd","4","38","6","4","2014-02-04 15:33:58"
"85","nleZsznkCM","2","12","6","6","2014-02-04 15:33:58"
"86","nlYmkfsUGd","4","39","3","3","2014-02-04 15:33:59"
"87","umHnBTVKxT","2","11","0","0","2014-02-04 15:34:00"
"88","nlYmkfsUGd","4","40","2","2","2014-02-04 15:34:00"
"89","nleZsznkCM","2","13","7","7","2014-02-04 15:34:00"
"90","nleZsznkCM","2","14","4","4","2014-02-04 15:34:02"
"91","umXiczYIfE","1","6","0","0","2014-02-04 15:34:03"
"92","nleZsznkCM","2","15","5","5","2014-02-04 15:34:04"
"93","umHnBTVKxT","2","12","2","2","2014-02-04 15:34:06"
"94","nleZsznkCM","2","16","9","8","2014-02-04 15:34:06"
"95","umXiczYIfE","1","7","5","3","2014-02-04 15:34:07"
"96","nlYmkfsUGd","5","41","3","3","2014-02-04 15:34:07"
"97","nleZsznkCM","2","17","8","8","2014-02-04 15:34:08"
"98","nlYmkfsUGd","5","42","9","4","2014-02-04 15:34:09"
"99","umHnBTVKxT","2","13","1","1","2014-02-04 15:34:09"
"100","nleZsznkCM","2","18","6","6","2014-02-04 15:34:10"
"101","nlYmkfsUGd","5","43","7","4","2014-02-04 15:34:10"
"102","glIqEtKsIN","3","21","0","0","2014-02-04 15:34:11"
"103","nlYmkfsUGd","5","44","7","4","2014-02-04 15:34:11"
"104","nleZsznkCM","2","19","7","7","2014-02-04 15:34:12"
"105","umHnBTVKxT","2","14","5","5","2014-02-04 15:34:12"
"106","nlYmkfsUGd","5","45","8","4","2014-02-04 15:34:12"
"107","glIqEtKsIN","3","22","8","8","2014-02-04 15:34:13"
"108","nlYmkfsUGd","5","46","3","3","2014-02-04 15:34:14"
"109","nleZsznkCM","2","20","6","6","2014-02-04 15:34:14"
"110","glIqEtKsIN","3","23","8","8","2014-02-04 15:34:14"
"111","umHnBTVKxT","2","15","8","8","2014-02-04 15:34:15"
"112","nlYmkfsUGd","5","47","7","4","2014-02-04 15:34:15"
"113","glIqEtKsIN","3","24","0","0","2014-02-04 15:34:15"
"114","nlYmkfsUGd","5","48","6","4","2014-02-04 15:34:16"
"115","nlYmkfsUGd","5","49","7","4","2014-02-04 15:34:17"
"116","glIqEtKsIN","3","25","0","0","2014-02-04 15:34:18"
"117","nlYmkfsUGd","5","50","1","1","2014-02-04 15:34:18"
