glEqUaoHqt,glEqUaoHqt,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glGJsvhrad,glGJsvhrad,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glGXbAdhTR,glGXbAdhTR,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glHYUBUkgE,glHYUBUkgE,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glIqEtKsIN,glIqEtKsIN,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glLoHBOhtJ,glLoHBOhtJ,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glQKlbDEua,glQKlbDEua,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glQxWRFARJ,glQxWRFARJ,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glVkZuDjiP,glVkZuDjiP,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glalzVNCul,glalzVNCul,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glgZUMKyId,glgZUMKyId,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glgpOgYDFC,glgpOgYDFC,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glhVQExMym,glhVQExMym,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glhmsTNJfu,glhmsTNJfu,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
gljZOBHkxs,gljZOBHkxs,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
gloYadPQMT,gloYadPQMT,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glqiimZZJm,glqiimZZJm,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glqwSQQkSK,glqwSQQkSK,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glssGAEldY,glssGAEldY,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
gltvAMHSpN,gltvAMHSpN,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
gltzcsWJbF,gltzcsWJbF,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
gluGDgeWRy,gluGDgeWRy,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glvTjMLAXh,glvTjMLAXh,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glzCNZOWdG,glzCNZOWdG,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
glzDWRLiha,glzDWRLiha,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grCHptarcR,grCHptarcR,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grFsoSiOMC,grFsoSiOMC,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grIMeaVfUS,grIMeaVfUS,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grJeiNbLOk,grJeiNbLOk,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grMLDSbdLv,grMLDSbdLv,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grPIYpAPsL,grPIYpAPsL,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grQgIYuKVM,grQgIYuKVM,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grSAKWsQBn,grSAKWsQBn,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grSXFEETPm,grSXFEETPm,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grSdNlecsT,grSdNlecsT,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grTvlBNSsw,grTvlBNSsw,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grUjBLWxGH,grUjBLWxGH,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grVBXMbSQd,grVBXMbSQd,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grVdUtmplL,grVdUtmplL,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grcDIctWFv,grcDIctWFv,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grdVnLyGMT,grdVnLyGMT,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grhXCIXxjm,grhXCIXxjm,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grjmPYdoRI,grjmPYdoRI,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grmSuZiDpF,grmSuZiDpF,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grnPqmdQhu,grnPqmdQhu,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
gruAOkMpXs,gruAOkMpXs,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
gruKLhuwGT,gruKLhuwGT,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
gruVmMJwUh,gruVmMJwUh,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grvlOoFExe,grvlOoFExe,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
grwQfnZauC,grwQfnZauC,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
nlAgVvBGTo,nlAgVvBGTo,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
nlBfhClIhk,nlBfhClIhk,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
nlCTrFzOSA,nlCTrFzOSA,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
nlFPEtWNQg,nlFPEtWNQg,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
nlHwBQTaSE,nlHwBQTaSE,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
nlImrTQIgD,nlImrTQIgD,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
nlKgzeYsTE,nlKgzeYsTE,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
nlOXlswvya,nlOXlswvya,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
nlOmKxpxdX,nlOmKxpxdX,,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0,0,1,1,1,1
